dataset,task_type,fingerprint_type,split_method,model_name,hyperparameters,run_count,train_size_mean,val_size_mean,test_size_mean,train_roc_auc_mean,train_pr_auc_mean,train_accuracy_mean,train_mae_mean,train_rmse_mean,train_r2_mean,val_roc_auc_mean,val_pr_auc_mean,val_accuracy_mean,val_mae_mean,val_rmse_mean,val_r2_mean,test_roc_auc_mean,test_pr_auc_mean,test_accuracy_mean,test_mae_mean,test_rmse_mean,test_r2_mean,train_size_std,val_size_std,test_size_std,train_roc_auc_std,train_pr_auc_std,train_accuracy_std,train_mae_std,train_rmse_std,train_r2_std,val_roc_auc_std,val_pr_auc_std,val_accuracy_std,val_mae_std,val_rmse_std,val_r2_std,test_roc_auc_std,test_pr_auc_std,test_accuracy_std,test_mae_std,test_rmse_std,test_r2_std
freesolv,regression,maccs,bm_scaffold,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,435.0,152.0,55.0,,,,0.07023977168775006,0.11879828137576824,0.9879127806791959,,,,0.2979202652423407,0.3800935809655176,0.7741654116865878,,,,0.2961500797174425,0.41419070538729313,0.46115595684904076,,,,,,,,,,,,,,,,,,,,,
freesolv,regression,maccs,butina_atompair,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.07276171421204215,0.12076438341822057,0.9847430944850002,,,,0.1879930942318783,0.3100257972612345,0.9046790060723685,,,,0.2232274843409749,0.38971628067352126,0.865302191255612,0.0,0.0,0.0,,,,0.0012312395411627742,0.004161389307685163,0.0016592159491977548,,,,0.03522477698295475,0.09445081885059554,0.013905467097721292,,,,0.024726686167662458,0.04354266613675775,0.03645695718391957
freesolv,regression,maccs,butina_maccs,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.07073187549771565,0.1147211921786417,0.9869623187841234,,,,0.33842172669457066,0.6014268188867027,0.6120837992474419,,,,0.2553278179720673,0.46387541308735464,0.6266395160293856,0.0,0.0,0.0,,,,0.0024360863530237258,0.007067152545814978,0.0005678393707731093,,,,0.09914647409439765,0.3252071886703994,0.21833512255345688,,,,0.07062566024633352,0.25643073250030346,0.16009878826324567
freesolv,regression,maccs,butina_morgan,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.07243129474256702,0.11964567867013767,0.9858770389667452,,,,0.20537997220194731,0.3364374942872651,0.8495377250977956,,,,0.21384828043765172,0.3439634267558572,0.8621072604515774,0.0,0.0,0.0,,,,0.0013344903111735227,0.0038274398736870227,0.0013482119942357029,,,,0.04405973552901148,0.09900635699773923,0.13641270122121524,,,,0.03914145988515962,0.09154151863613351,0.03104247782465797
freesolv,regression,maccs,random,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.07376201828466475,0.11904001839826286,0.9855125695886022,,,,0.2020830457392983,0.37034953339720944,0.8743106636621725,,,,0.1737127879361576,0.34293230132724767,0.8766418710720819,0.0,0.0,0.0,,,,0.001754367631971734,0.00404274245889967,0.0004196882628806838,,,,0.04018523121377153,0.131958764764619,0.04703354974974816,,,,0.03427652227350497,0.1377505997956873,0.09505317664608069
freesolv,regression,morgan,bm_scaffold,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1,435.0,152.0,55.0,,,,0.12488710495414523,0.23351057563644767,0.9532997510689336,,,,0.5263546724838637,0.6125073180116158,0.413548702623487,,,,0.38827155523147483,0.5192764078077204,0.15304649045471164,,,,,,,,,,,,,,,,,,,,,
freesolv,regression,morgan,butina_atompair,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.11932950071968682,0.19970497972974988,0.9584058255908371,,,,0.41197733863903396,0.65627052329354,0.5719939282281238,,,,0.4146269804146646,0.6981963098572841,0.5703028598266716,0.0,0.0,0.0,,,,0.003250016701010203,0.011888299630601703,0.003715571503527252,,,,0.06953931187321827,0.21357898704409017,0.07736502918659723,,,,0.04617596569248195,0.16694636370212826,0.15523135589128836
freesolv,regression,morgan,butina_maccs,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.1137860831697659,0.1848786646435116,0.9660136157600462,,,,0.47058113008058733,0.7865871017192707,0.33974266342302833,,,,0.40579409372699676,0.6320920752316612,0.2936072971060404,0.0,0.0,0.0,,,,0.006456082589938631,0.029272170566705648,0.007912615213595259,,,,0.16524817006027187,0.4117607545744898,0.3472320712261771,,,,0.10896382230303184,0.3169754293233602,0.3063740259809662
freesolv,regression,morgan,butina_morgan,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.12211013022986124,0.21123755153697515,0.9561123236242187,,,,0.3356289391642877,0.5583559050288118,0.6727790552156667,,,,0.3353211170916432,0.5139113674224227,0.6838539548901693,0.0,0.0,0.0,,,,0.0012474677132401845,0.008083687667886424,0.0020214554038460184,,,,0.06906436493258297,0.18899442890340867,0.10457100480756304,,,,0.050071542654872424,0.15561303368951315,0.10936733417371454
freesolv,regression,morgan,random,RandomForestRegressor,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",5,514.0,64.0,64.0,,,,0.11962609340200399,0.19863475807663158,0.9596842775768859,,,,0.32469249956772267,0.5772239887181579,0.6969588478820878,,,,0.33406109272442924,0.6395198423370219,0.6021367374913367,0.0,0.0,0.0,,,,0.00309868801771712,0.014055898597302566,0.003368766026672352,,,,0.05265266349078856,0.1995780942745252,0.10474617602916568,,,,0.054185287602850095,0.17740786354050578,0.13427617933627467
