dataset,task_type,fingerprint_type,split_method,run_label,model_name,hyperparameters,train_size,val_size,test_size,train_roc_auc,train_pr_auc,train_accuracy,train_mae,train_rmse,train_r2,val_roc_auc,val_pr_auc,val_accuracy,val_mae,val_rmse,val_r2,test_roc_auc,test_pr_auc,test_accuracy,test_mae,test_rmse,test_r2
bbbp,classification,maccs,butina_atompair,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995545218792765,0.9998704732905045,0.9961636828644501,,,,0.9615835777126099,0.9924073694435201,0.9387755102040817,,,,0.9054054054054055,0.9656508469301879,0.8358974358974359,,,
bbbp,classification,maccs,butina_atompair,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995269138485219,0.9998691927019852,0.9968030690537084,,,,0.8750774313442081,0.9724995589483876,0.8928571428571429,,,,0.9309362114964832,0.9687073162340496,0.8512820512820513,,,
bbbp,classification,maccs,butina_atompair,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995307252083244,0.9998649256720271,0.9968030690537084,,,,0.9077743902439024,0.9758548966156604,0.9438775510204082,,,,0.9156132329209252,0.9693048363056969,0.8358974358974359,,,
bbbp,classification,maccs,butina_maccs,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999234536055449,0.9999702087258333,0.9968030690537084,,,,0.8602598267821453,0.9512241522447817,0.8877551020408163,,,,0.8713235294117647,0.9937634708014623,0.9435897435897436,,,
bbbp,classification,maccs,butina_maccs,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999222403306383,0.9999707163946138,0.9968030690537084,,,,0.8712524983344437,0.9582117541431475,0.8775510204081632,,,,0.8920276208411801,0.9881439624455052,0.8974358974358975,,,
bbbp,classification,maccs,butina_maccs,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999167762270766,0.9999681390529919,0.9968030690537084,,,,0.8956528980679548,0.9645705197011438,0.8724489795918368,,,,0.8910573122529645,0.9924696727377086,0.9487179487179487,,,
bbbp,classification,maccs,butina_maccs,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999167762270765,0.9999682133144845,0.9968030690537084,,,,0.9067652558218596,0.9714849992211119,0.8775510204081632,,,,0.8941256830601093,0.9924102291290721,0.9384615384615385,,,
bbbp,classification,maccs,butina_maccs,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999086326402016,0.9999652455063409,0.9968030690537084,,,,0.8560346235505472,0.9371089583892527,0.8673469387755102,,,,0.8529411764705883,0.9928894456825024,0.9487179487179487,,,
bbbp,classification,maccs,butina_morgan,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995205326814378,0.999865902596122,0.9961636828644501,,,,0.9185855263157895,0.971230293963155,0.8979591836734694,,,,0.877633955448525,0.9602652470725788,0.8615384615384616,,,
bbbp,classification,maccs,butina_morgan,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995402298850575,0.9998729140755636,0.9974424552429667,,,,0.9177690674505962,0.9766681264309816,0.9081632653061225,,,,0.8986486486486486,0.9645536231175109,0.882051282051282,,,
